Session,Priority,Question,Motivation (Why?),Literature,Other references and comments
Policy,High,How do we get policy to support re-use and sustainability rather than “novel innovative” re-inventing the wheel?,"Current situation goes against good practice, and is indeed a massive waste of resources. Funding agencies do not yet mandate a SMP and a comprehensive state-of-the-art report before funding new software development. RSEs should be involved in these as they have the required competency.",,"Recent CANARIE and ARDC calls have required re-use. Some funders now using SMPs? 
There used to be two calls in the UK which mandated an SMP. "
Policy,Low,How do we make policy to support open-sourcing output of RSE work?,"If software remains closed, it loses a lot of opportunities of making impact.",,Link to OSPO centres being established by universities - Saeed's work
Policy,High,What are the financial/reputational costs of NOT providing paths to RSEs?,Knowing this can help convince research/institution leadership why RSE is an important component of research life cycle (business case),"Merali 2010, Smart 2018, Palmer et al. 2018",
Policy,Low,"For open source academic projects,  what kind of funding is available to them?",Many groups need to justify this in order to keep going.,,
Policy,High,How can we get more RSE expertise in the project proposal review process? Software management plans should be reviewed by experienced RSEs.,This is important to make sure software is not written from scratch when existing software is available.,,
Policy,Low,What amount of funding is available to support new critical software vs maintenance of existing critical software?,To help show the problem of maintenance funding gaps.,"Crouch et al. 2013, Siepel 2019, Sufi and Jay 2018","https://www.dfg.de/foerderung/info_wissenschaft/2019/info_wissenschaft_19_44/index.html, https://www.dfg.de/en/research_funding/programmes/infrastructure/lis/funding_opportunities/call_proposal_software/, https://cordis.europa.eu/project/id/676531, https://cordis.europa.eu/project/id/676531"
Infrastructure,High,What software should be preserved and/or maintained? What criteria to decide on this? ,"This IS an important question in practice, for funding and/or allocating resource","Crouch et al. 2013, Rosado de Souza et al. 2019, Anzt 2020",https://software.ac.uk/about
Infrastructure,Low,"What open source tools are crucial for RSEs, eg how many RSEs use / rely on GitHub, BitBucket to develop code?",Understand our bargaining power and reliance on code development infrastructure. We need to know this in order to provide proper support when building capacity. We want to ensure that we can provide RSEs with the best possible support to generate high-quality software outputs.,Anzt et al. 2020,"https://investinopen.org/ GitHub, GitLab, etc.?
Software indices?
Software preservation repositories?
CI runner services (Travis-CI, GitHub Actions) which provide spot instances for free for open source projects, vs. GitLab free edition where you have to maintain your own fleet of CI machines (mandatory for non-open source software or software that requires GPUs)."
Infrastructure,Low,How much research software is already open source? ,"Understand the difference, including cultural differences by domain. It is useful to know to be able to advocate for open source.",,"Research Software Encyclopedia: https://rseng.github.io/, FAIR4RS work on definition of research software"
Infrastructure,Low,What are the reasons for not making research software open source?,"Better understanding of when to exploit software using traditional licensing etc, when closed source is better (e.g. to protect IP, liability)","Hinsen 2010, Barnes 2010, Lunt 2010",
Infrastructure,Low,"How many research software projects use mixed licensing models (e.g. open platform, closed unique modules / functionality)? Why do they do this?","Better understanding of exploitation models, how people use licensing.","Morin, Urban, and Sliz 2012",
Infrastructure,Low,"What are the productivity tools that RSEs use, and how do they use them?","Better understand what methods RSEs apply, e.g. agile development, and how they can effectively apply them.",,"International RSE surveys capture some of this - perhaps an extra question to get some follow-up interviews (construct an RSE panel, willing to answer more in-depth questions)"
Infrastructure,High,What are the bounding constraints RSEs encounter most often? Which one is most critical (and what is the spread over different types of resources)?,Important to know for prioritizing investments.,,
Infrastructure,High,What would motivate people to stop re-implementing established solutions (in terms of writing software packages for which there are existing implementations)?,"We need to understand why this happens in order to avoid it (waste / inefficient use of resources)
",,
Infrastructure,Low,What are the preferred languages/packages for RSEs in different domains?,"This is useful to know to avoid fragmentation / gain standardisation, and to offer targeted training.",,
Infrastructure,Low,How well-versed are RSEs with software licensing and other legal / IP issues? Do they feel confident or in need of help?,"understanding the need for an official RSE organisation to help RSE members with issues (e.g. open source licensing, open source free plans, this kind of advice)",,
Infrastructure,Low,"What are the most common technical problems that RSEs face? E.g. package installation, accessing HPC, ...","Understand where the community could provide better help, where better infrastructure is needed",,
Infrastructure,Low,How are people still supporting very old infrastructure?,Understanding how much that is needed now and in the future. Needs specific skills.,,
Infrastructure,High,Do we have the right infrastructure to publish research software (together with the relevant data)? What needs are (not yet) covered?,"There are MANY platforms, and the numbers seem to keep growing. We need to understand why that is, if it is possible to have one unified platform or if diversity is needed.",,Recent discussion along these lines on research software directories (SORSE event)
Infrastructure,High,Do we have the right infrastructure to find research software once it has been published? How do people make their software findable at the moment? Do they?,"We want to find it in order to reuse it and avoid duplication of effort (and taxpayer money). Contribute to reusability and reliability. Funding may be easier if you can show you are not reinventing the wheel. Research software should be findable, for transparency, reuse etc. Need to understand if there are obstacles for making software findable.","Howison and Bullard 2016, Hucka and Graham 2018",
Infrastructure,Low,How do researchers search for software?,We need to understand how people search for software in order to have infrastructure which will bring meaningful results.,,
Infrastructure,Low,How do we identify and preserve research software in a way that it can be rerun and reused many years from now,For reproducibility and reuse to answer other questions,"Rougier et al. 2017, Hinsen and Rougier 2019, Perkel 2020","FORCE11 work, RDA work, softwareheritage.org"
Infrastructure,Low,What is the infrastructure needed to support RSE groups? Preserving Environments? Testing?,"Better understanding what helps RSEs to track projects, choose new work, assign that work to RSEs, perhaps peer-review proposals to do work, to develop and disseminate best practices","Stodden and Miguez 2014, Katz et al. 2019","Eg. Tools to support https://www.pik-potsdam.de/en/institute/departments/transformation-pathways/research/research-software-engineering/research-software-engineering, Elixir (Europe)
"
Infrastructure,Low,Who controls the infrastructure that RSE relies on? Commercial companies vs open organizations?,Ensure that the research community has sufficient control that it can depend on the needed infrastructure being there and doing the right things? (Partially a governance question). Is it a problem if we all start relying on the same infrastructure? Could we lead research to “vendor lock in”?,,"Work with https://investinopen.org/about/?
"
Infrastructure,Low,"How do RSEs approach software quality? What quality assurance methods for software do they use? (testing, benchmarking, formal verification, code review, …) ","Better understanding of practices and obstacles, to develop (better) training material and tools for QA in RSE.","Carver et al. 2013, Crusoe and Brown 2016, Storer 2017",
Infrastructure,High,"How do the infrastructure needs of RSEs differ from those of software engineers/developers outside of research, and those of standard researchers?","Identify any software or hardware that is utilised by RSEs especially, or indeed not utilised much within this community, whilst common elsewhere.",,
